date,ticker,spot,dte,atm_iv
2026-08-19,NVDA,217.55999755859375,23,0.41431249755859373
2026-08-19,TSLA,351.1199951171875,16,0.430242514038086
2026-08-19,AMD,466.4200134277344,16,0.5498091894531252
2026-08-19,META,546.030029296875,16,0.37439590454101557
2026-08-19,AVGO,362.4800109863281,16,0.5753216296386718
2026-08-19,MU,937.10498046875,16,0.6403234210205078
2026-08-19,COIN,160.1999969482422,30,0.6644320666503909
2026-08-19,PLTR,175.19000244140625,30,0.4696708306884766
2026-08-19,NFLX,80.22000122070312,30,0.3425358715820312
2026-08-19,CRM,206.08999633789062,30,0.5081836291503907
2026-08-19,UBER,78.04000091552734,30,0.36206692626953124
2026-08-19,SHOP,146.5800018310547,30,0.501103621826172
2026-08-19,MRVL,237.27000427246094,30,0.8087787677001952
2026-08-19,SMCI,36.58000183105469,30,0.745119736328125
2026-08-19,XLE,63.58000183105469,30,0.309577216796875
2026-08-19,XLF,57.47999954223633,16,0.1577232666015625
2026-08-19,XBI,169.5500030517578,30,0.3254461987304687
2026-08-19,SMH,560.9199829101562,16,0.402899037475586
2026-08-19,ARKK,83.30999755859375,30,0.3562076098632812
2026-08-19,GDX,97.33000183105469,30,0.46802289794921875
2026-08-19,QQQ,716.0800170898438,7,0.16315534118652347
2026-08-19,IWM,301.7200012207031,7,0.12439840454101564
2026-08-19,SPY,769.0599975585938,7,0.09705492797851564
